       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey
    2020tcw    232.071167      39.947369     0.064     Host_lines  0.0192    59093.5  59132.99     Gold     ZTF
    2020uew     49.849458     -29.984911   0.22367     Host_lines  0.0121   59107.81  59139.47     Gold   ATLAS
    2020vpg  24.517471092   34.724418986     0.257     Host_lines  0.0339   59101.31  59157.24     Gold     ZTF
    2020wfh  104.01892946   36.423814004      0.33        Unknown  0.0776   59118.23  59143.46   Bronze     ZTF
    2020wnt    56.6581134    43.22923725     0.032     Host_lines  0.4082   59133.42   59207.3     Gold     ZTF
    2020xga  56.664022648  -11.242749707      0.44    SN_features  0.0481   59111.82  59165.31     Gold     ZTF
    2020xgd   4.940958101    5.138500529     0.454       Mg_Lines  0.0145   59100.92  59145.14     Gold     ZTF
    2020xkv  339.44166667    23.52705556     0.241     Host_lines  0.0303   59054.07  59150.78     Gold     ZTF
    2020zbf     29.506964     -41.347732      0.35    SN_features  0.0148   59131.94  59166.78     Gold   ATLAS
    2020znr     109.77675      23.885381       0.1    SN_features  0.0516   59154.48  59235.43     Gold     ZTF
    2020zzb       2.53771       9.493234    0.1659     Host_lines  0.1157   59097.59  59182.32     Gold     ZTF
    2021bnw    163.467375       12.55805     0.098    SN_features  0.0171   59224.42  59270.38     Gold     ZTF
    2021een    306.685083      16.551711      0.16    SN_features  0.1077   59249.05  59282.53     Gold     ZTF
    2021ejo    157.912458       31.00125      0.44    SN_features  0.0154   59217.72  59293.71     Gold     ZTF
     2021ek  50.957973873  -10.044773188     0.193     Host_lines  0.0531   59206.24  59234.63     Gold     ZTF
    2021fpl    303.577583     -18.182381     0.121    SN_features  0.0812   59264.69   59336.1     Gold     ZTF
    2021gtr  264.61677333   48.496553333     0.303     Host_lines  0.0193    59112.2  59242.82     Gold     ZTF
    2021hpc  203.25443766   43.176086746      0.24    SN_features  0.0078   59274.87  59325.28     Gold     ZTF
    2021hpx    142.776083     -19.517989     0.213     Host_lines   0.046   59273.93  59331.35     Gold     ZTF
    2021kty  214.70319028   15.014119657     0.159     Host_lines  0.0195    59303.3  59347.48     Gold     ZTF
    2021lwz  146.19744933   34.712286171     0.065     Host_lines  0.0108   59341.68  59352.26   Silver     ZTF
    2021mkr    224.219042       60.83475      0.28     Host_lines  0.0084   59332.11  59402.24     Gold     ZTF
    2021nxq  216.33616151     37.7624172      0.15    SN_features  0.0122   59337.76  59424.26     Gold     ZTF
    2021rwz  347.45898658   10.028441473      0.19    SN_features  0.0402   59360.12  59400.54   Silver     ZTF
    2021txk   321.9552868     -8.0828631      0.46    SN_features  0.0468   59371.75  59416.12     Gold     ZTF
    2021uvy   7.378641877   12.105848877     0.095    SN_features  0.0575   59392.44  59452.78   Bronze     ZTF
    2021vuw     100.19775      27.783839       0.2    SN_features  0.1058   59416.16  59471.47     Gold     ZTF
    2021xfu  265.67168487   52.186250143      0.32    SN_features  0.0314   59411.94  59493.95     Gold     ZTF
    2021ybf    20.3066288     28.2639057      0.13    SN_features  0.0627   59420.82  59477.28   Bronze     ZTF
    2021ynn  42.647656959  -19.863115218      0.22    SN_features  0.0286   59455.72  59487.43     Gold     ZTF
    2021yrp        5.8232     50.1454089       0.3    SN_features  0.1164   59444.12  59489.66     Gold     ZTF
    2021zcl  77.310217639   -6.053849628     0.117        Unknown  0.0899   59459.64  59513.48     Gold     ZTF
   2022aawb      26.21825      23.012181      0.13        Unknown  0.1091   59889.85  59942.21   Silver     ZTF
   2022abdu  46.520439091   -46.72138909      0.13        Unknown  0.0119   59893.54  59913.89     Gold   ATLAS
    2022ful    290.044458        50.3951      0.15    SN_features  0.0682    59653.5  59699.58     Gold     ZTF
    2022gyv  194.49837769   41.078350855      0.39    SN_features  0.0129   59607.25  59689.44   Silver     ZTF
     2022le  162.61609955   -6.296708007    0.2491     Host_lines  0.0211   59443.54   59722.2     Gold     ZTF
    2022ljr  235.75866687   18.076662064       0.2    SN_features  0.0313   59719.77  59747.31     Gold     ZTF
    2022lxd   264.1611793   61.555183699      0.54    SN_features  0.0321   59706.25  59765.41     Gold     ZTF
    2022npq   245.2655506   14.848540869      0.26        Unknown   0.039   59738.02  59816.19     Gold     ZTF
    2022ojm  354.44179517   40.085553777      0.47    SN_features   0.092   59732.95   59801.5   Bronze     ZTF
    2022pjq  327.24233456  -26.376892783      0.17    SN_features  0.0344   59764.85  59787.58     Gold     ZTF
    2022ued  133.69160866   78.830157708    0.1087     Host_lines  0.0189   59821.81  59869.48     Gold     ZTF
 ASASSN15no     234.60599       46.90171   0.03638  Host_spectrum   0.014   57178.35  57245.53   Bronze   Other
  CSS140925    14.7254583     18.2228333      0.46        Unknown  0.0568   56883.26  56918.66   Bronze     CSS
