 Filter     Telescope  Instrument  System   Cenwave  Zeropoint
     Ks          Keck     MOSFIRE      AB   Generic    3631.00
     Ks          SOFI          --      AB   Generic    3631.00
     Ks         GROND          --      AB   Generic    3631.00
     Ks    UltraVISTA          --      AB   Generic    3631.00
 orange         ATLAS       ATLAS      AB   6629.82    3631.00
      r            --          --      AB   Generic    3631.00
      R            --          --    Vega   Generic    Generic
      r            GN          --      AB   Generic    3631.00
      r            GS          --      AB   Generic    3631.00
      r            LT          --      AB   Generic    3631.00
      R            LT          --    Vega   Generic    Generic
      r            LT         IOO      AB   6120.65    3631.00
      r            LT      RATCam      AB   6164.79    3631.00
      R            LT      RATCam    Vega   Generic    Generic
      r           DCT          --      AB   Generic    3631.00
      r           DCT         LMI      AB   Generic    3631.00
      r           DES          --      AB   Generic    3631.00
      r           FTN          --      AB   Generic    3631.00
      R           FTN     HawkCam    Vega   Generic    Generic
      r           FTS          --      AB   Generic    3631.00
      R           FTS          --    Vega   Generic    Generic
      r           INT          --      AB   Generic    3631.00
      r           LBT          --      AB   Generic    3631.00
      r           LCO          --      AB   Generic    3631.00
      r           LCO         LCO      AB   Generic    3631.00
      r           LCO    Sinistro      AB   Generic    3631.00
      r           LOT          --      AB   Generic    3631.00
      r           LSQ          --      AB   Generic    3631.00
      r           MDM          --      AB   Generic    3631.00
      R           MDM          --    Vega   Generic    Generic
      r           MLS          --      AB   Generic    3631.00
      r           MMT          --      AB   Generic    3631.00
      r           MMT      MMTCam      AB   Generic    3631.00
      r           MMT    Binospec      AB   Generic    3631.00
      r           NOT          --      AB   Generic    3631.00
      r           NOT      ALFOSC      AB   Generic    3631.00
      r           NTT          --      AB   Generic    3631.00
      R           NTT          --    Vega   Generic    Generic
      r           NTT          --    Vega   Generic    Generic
      R           NTT        EMII    Vega   Generic    Generic
      R           NTT      EFOSC2      AB   Generic    3631.00
      r           NTT      EFOSC2      AB   Generic    3631.00
      R           NTT      EFOSC2    Vega   Generic    Generic
      R           P48          --      AB   Generic    3631.00
      r           P48          --      AB   Generic    3631.00
      R           P48          --    Vega   Generic    Generic
      r           P48         ZTF      AB   6366.38    3631.00
      r           P60          --      AB   Generic    3631.00
      r           P60        SEDM      AB   Generic    3631.00
      r           P60      GRBcam      AB   Generic    3631.00
      r           PS1          --      AB   6155.47    3631.00
      r           PS2        GPC2      AB   6155.47    3631.00
      r           PTF          --      AB   Generic    3631.00
      R           SLT          --      AB   Generic    3631.00
      R           SSS          --    Vega   Generic    Generic
      r           TNG          --      AB   Generic    3631.00
      r           TNT          --      AB   Generic    3631.00
      R           VLT      RATCam    Vega   Generic    Generic
      r           WHT          --      AB   Generic    3631.00
      r           WHT        ACAM      AB   Generic    3631.00
      R           WHT  AuxPortCam    Vega   Generic    Generic
      r          CFHT          --      AB   Generic    3631.00
      r          CPCS          --      AB   Generic    3631.00
      R          CPCS          --    Vega   Generic    Generic
      r          CRTS          --      AB   Generic    3631.00
      r          FLWO   KeplerCam      AB   6198.96    3631.00
      r          IO:O          --      AB   Generic    3631.00
      r          Keck          --      AB   Generic    3631.00
      r          Keck        LRIS      AB   Generic    3631.00
      r          P200          --      AB   Generic    3631.00
      r          P200        WASP      AB   Generic    3631.00
      r          Post          --      AB   Generic    3631.00
      r          SDSS          --      AB   6141.12    3631.00
      r          SNLS          --    Vega   Generic    Generic
      r         ATLAS       ATLAS      AB   Generic    3631.00
      r         GROND          --      AB   6096.67    3631.00
      r         LCOGT          --      AB   Generic    3631.00
      R         Lulin          --    Vega   Generic    Generic
      r         QUEST          --      AB   Generic    3631.00
      r        Blanco       DECam      AB   6370.44    3631.00
      r        OSIRIS          --      AB   Generic    3631.00
      r        Subaru         HSC      AB   Generic    3631.00
      r       C28Wise          --      AB   Generic    3631.00
      r       ESO2.2m         MPI      AB   Generic    3631.00
      r       ESO2.2m       GROND      AB   6096.67    3631.00
      r       Lijiang          --      AB   Generic    3631.00
      R       MPI2.2m      EFOSC2    Vega   Generic    Generic
      r       Schmidt          --      AB   Generic    3631.00
      R       Spectra          --    Vega   Generic    Generic
      R       Wise1.0          --    Vega   Generic    Generic
