# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = OGLE15xl
# TELESCOPE = NTT
# INSTRUMENT = EFOSC2
# DATE-OBS = 2015-12-18 06:29:00.00
# MJD =
# EXPTIME = 1500
# SLIT =
# DISPERSER =
# SOURCE = 2015ATel.8437....1L
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT = Obtained from WISeREP
6929.73350143 2.82022e-17
6935.25142956 3.1708e-17
6940.76935768 4.03378e-17
6946.2872858 3.64262e-17
6951.80521393 3.06342e-17
6957.32314205 4.19492e-17
6962.84107018 3.63e-17
6968.3589983 3.94884e-17
6973.87692642 3.35454e-17
6979.39485455 3.29172e-17
6984.91278267 3.90064e-17
6990.43071079 3.45026e-17
6995.94863892 3.38693e-17
7001.46656704 3.14539e-17
7006.98449516 3.09984e-17
7012.50242329 3.46691e-17
7018.02035141 3.66942e-17
7023.53827953 3.21519e-17
7029.05620766 3.41424e-17
7034.57413578 3.97689e-17
7040.0920639 3.68343e-17
7045.60999203 3.70447e-17
7051.12792015 3.63212e-17
7056.64584827 3.31016e-17
7062.1637764 3.17219e-17
7067.68170452 3.49253e-17
7073.19963264 3.38436e-17
7078.71756077 3.10784e-17
7084.23548889 3.29391e-17
7089.75341702 3.56141e-17
7095.27134514 3.3672e-17
7100.78927326 3.54517e-17
7106.30720139 3.70651e-17
7111.82512951 3.20065e-17
7117.34305763 3.18951e-17
7122.86098576 3.54595e-17
7128.37891388 3.47667e-17
7133.896842 3.81867e-17
7139.41477013 3.69937e-17
7144.93269825 3.34867e-17
7150.45062637 3.52947e-17
7155.9685545 3.24188e-17
7161.48648262 2.99362e-17
7167.00441074 3.41419e-17
7172.52233887 3.28923e-17
7178.04026699 3.05995e-17
7183.55819511 3.39299e-17
7189.07612324 3.41852e-17
7194.59405136 3.02762e-17
7200.11197948 2.85902e-17
7205.62990761 2.93684e-17
7211.14783573 2.83488e-17
7216.66576385 3.0179e-17
7222.18369198 2.97728e-17
7227.7016201 3.89962e-17
7233.21954823 3.48889e-17
7238.73747635 3.19973e-17
7244.25540447 3.46038e-17
7249.7733326 3.46615e-17
7255.29126072 3.50325e-17
7260.80918884 3.4455e-17
7266.32711697 2.9385e-17
7271.84504509 3.4072e-17
7277.36297321 3.97142e-17
7282.88090134 3.66735e-17
7288.39882946 3.49467e-17
7293.91675758 3.13334e-17
7299.43468571 3.60954e-17
7304.95261383 3.17526e-17
7310.47054195 2.61971e-17
7315.98847008 3.20597e-17
7321.5063982 3.20928e-17
7327.02432632 2.72002e-17
7332.54225445 3.03705e-17
7338.06018257 2.79678e-17
7343.57811069 2.44679e-17
7349.09603882 2.71293e-17
7354.61396694 2.88576e-17
7360.13189507 3.63152e-17
7365.64982319 3.12148e-17
7371.16775131 3.02402e-17
7376.68567944 3.46104e-17
7382.20360756 3.53308e-17
7387.72153568 3.39474e-17
7393.23946381 3.31385e-17
7398.75739193 3.5974e-17
7404.27532005 3.46173e-17
7409.79324818 3.11958e-17
7415.3111763 3.23023e-17
7420.82910442 3.14498e-17
7426.34703255 3.69235e-17
7431.86496067 2.85311e-17
7437.38288879 2.21656e-17
7442.90081692 2.41889e-17
7448.41874504 3.20795e-17
7453.93667316 3.46258e-17
7459.45460129 2.62569e-17
7464.97252941 2.83513e-17
7470.49045753 2.78501e-17
7476.00838566 2.60326e-17
7481.52631378 3.38083e-17
7487.04424191 3.58971e-17
7492.56217003 3.47118e-17
7498.08009815 2.82888e-17
7503.59802628 2.65865e-17
7509.1159544 2.75241e-17
7514.63388252 2.76912e-17
7520.15181065 3.53388e-17
7525.66973877 3.41746e-17
7531.18766689 3.2417e-17
7536.70559502 3.20267e-17
7542.22352314 3.1367e-17
7547.74145126 3.81773e-17
7553.25937939 3.47538e-17
7558.77730751 3.47282e-17
7564.29523563 3.45346e-17
7569.81316376 2.87663e-17
7575.33109188 2.91771e-17
7580.84902 2.73055e-17
7586.36694813 3.37829e-17
7591.88487625 2.60515e-17
7597.40280437 1.38474e-17
7602.9207325 6.68842e-18
7608.43866062 9.8181e-18
7613.95658875 1.7702e-17
7619.47451687 1.71733e-17
7624.99244499 1.93576e-17
7630.51037312 2.03865e-17
7636.02830124 1.60167e-17
7641.54622936 1.38749e-17
7647.06415749 1.56111e-17
7652.58208561 1.72832e-17
7658.10001373 2.8252e-17
7663.61794186 2.47236e-17
7669.13586998 2.5758e-17
7674.6537981 2.62599e-17
7680.17172623 3.08088e-17
7685.68965435 3.48867e-17
7691.20758247 3.44433e-17
7696.7255106 3.2838e-17
7702.24343872 3.2984e-17
7707.76136684 2.93601e-17
7713.27929497 3.15176e-17
7718.79722309 2.65167e-17
7724.31515121 2.95881e-17
7729.83307934 3.80495e-17
7735.35100746 3.43617e-17
7740.86893559 2.85915e-17
7746.38686371 2.6216e-17
7751.90479183 2.67964e-17
7757.42271996 3.321e-17
7762.94064808 3.91129e-17
7768.4585762 2.79189e-17
7773.97650433 2.46244e-17
7779.49443245 2.92888e-17
7785.01236057 3.24741e-17
7790.5302887 3.24171e-17
7796.04821682 4.1367e-17
7801.56614494 3.6982e-17
7807.08407307 2.6637e-17
7812.60200119 2.12544e-17
7818.11992931 3.48804e-17
7823.63785744 2.7959e-17
7829.15578556 3.22494e-17
7834.67371368 3.04596e-17
7840.19164181 3.74552e-17
7845.70956993 3.34833e-17
7851.22749805 3.2659e-17
7856.74542618 4.63686e-17
7862.2633543 6.34436e-17
7867.78128242 5.13216e-17
7873.29921055 3.03988e-17
7878.81713867 2.97692e-17
7884.3350668 3.03225e-17
7889.85299492 3.78892e-17
7895.37092304 3.77332e-17
7900.88885117 2.3218e-17
7906.40677929 2.35624e-17
7911.92470741 3.073e-17
7917.44263554 2.75769e-17
7922.96056366 2.61905e-17
7928.47849178 3.05334e-17
7933.99641991 3.67811e-17
7939.51434803 3.71002e-17
7945.03227615 2.8061e-17
7950.55020428 1.84632e-17
7956.0681324 3.09324e-17
7961.58606052 2.34538e-17
7967.10398865 2.47722e-17
7972.62191677 3.52355e-17
7978.13984489 2.41805e-17
