          MJD      Mag     Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
     59043.24    21.35     nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
      59044.2    20.93     nan    0.21        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     59044.22    20.55     nan    0.16        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59045.19    20.63     nan    0.15        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59045.24    21.65     nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
     59046.19    20.89     nan    0.24        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59046.21    21.58     nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
     59047.22    21.15     nan    0.25        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59048.19    21.53     nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
     59048.26    21.42     nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
     59048.27    21.24     nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
     59048.31    20.72     nan    -1.0        P48         ZTF       i   True      AB    True  2023ApJ...943...41C 
     59049.17     20.7     nan    0.21        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59049.18    21.03     nan    0.26        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59049.19    21.65     nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
      59049.2    21.57     nan    -1.0        P48         ZTF       g   True      AB    True  2023ApJ...943...41C 
     59050.26    20.83     nan    0.27        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59051.21    20.58     nan    0.17        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59051.21    20.73     nan     0.2        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59052.25    20.66     nan    0.18        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
     59052.25    20.81     nan    0.21        P48         ZTF       r  False      AB   False  2023ApJ...943...41C 
