          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
     58754.13    20.36      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
 58755.221448  19.5372  19.5797    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
     58758.11     19.9      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58758.11    20.14      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58758.12    20.16      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
      58760.1    19.48      nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
     58760.11    19.78      nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
     58760.11    20.03      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58760.12     20.0      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
      58762.1    19.55      nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
      58762.1    19.98      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58762.11     20.0      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58762.11    20.15      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
 58820.542968   21.531  21.5656    -1.0       FLWO   KeplerCam       r   True      AB   False             ThisWork 
 58821.646323  19.4718  19.5029    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  58827.53125   21.007  21.0416    -1.0       FLWO   KeplerCam       r   True      AB   False             ThisWork 
 58829.634888  20.0368  20.0679    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58869.659302  20.0825  20.1136    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58871.577588  20.5482  20.5906    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58873.630806  19.9187  19.9498    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58875.661437  20.2769  20.3194    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58877.656826  20.2213  20.2524    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58879.574644  19.8313  19.8737    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58881.594387  20.0729   20.104    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58883.604481  19.0856  19.1281    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 58885.592645     19.3   19.331    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
